timeStamp,elapsed,responseCode,responseMessage,threadName,success,failureMessage,URL,Latency
1675724366301,1339,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,176
1675724366301,176,301,Moved Permanently,new.astrology.com 1-1,true,,http://new.astrology.com/,176
1675724366477,490,301,Moved Permanently,new.astrology.com 1-1,true,,https://new.astrology.com/,490
1675724366967,673,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,570
1675724366800,959,200,OK,new.astrology.com 1-2,true,,https://new.astrology.com/us/home.aspx,155
1675724366800,155,301,Moved Permanently,new.astrology.com 1-2,true,,http://new.astrology.com/,155
1675724366956,484,301,Moved Permanently,new.astrology.com 1-2,true,,https://new.astrology.com/,484
1675724367440,319,200,OK,new.astrology.com 1-2,true,,https://new.astrology.com/us/home.aspx,268
1675724367640,451,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,56
1675724367640,56,301,Moved Permanently,new.astrology.com 1-1,true,,http://new.astrology.com/,56
1675724367696,135,301,Moved Permanently,new.astrology.com 1-1,true,,https://new.astrology.com/,135
1675724367831,260,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,259
1675724367300,1004,200,OK,new.astrology.com 1-3,true,,https://new.astrology.com/us/home.aspx,161
1675724367300,161,301,Moved Permanently,new.astrology.com 1-3,true,,http://new.astrology.com/,161
1675724367461,460,301,Moved Permanently,new.astrology.com 1-3,true,,https://new.astrology.com/,460
1675724367921,383,200,OK,new.astrology.com 1-3,true,,https://new.astrology.com/us/home.aspx,331
1675724367760,746,200,OK,new.astrology.com 1-2,true,,https://new.astrology.com/us/home.aspx,55
1675724367760,55,301,Moved Permanently,new.astrology.com 1-2,true,,http://new.astrology.com/,55
1675724367815,151,301,Moved Permanently,new.astrology.com 1-2,true,,https://new.astrology.com/,151
1675724367966,540,200,OK,new.astrology.com 1-2,true,,https://new.astrology.com/us/home.aspx,441
1675724368091,441,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,56
1675724368091,56,301,Moved Permanently,new.astrology.com 1-1,true,,http://new.astrology.com/,56
1675724368147,137,301,Moved Permanently,new.astrology.com 1-1,true,,https://new.astrology.com/,137
1675724368284,248,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,247
1675724367801,938,200,OK,new.astrology.com 1-4,true,,https://new.astrology.com/us/home.aspx,159
1675724367801,159,301,Moved Permanently,new.astrology.com 1-4,true,,http://new.astrology.com/,159
1675724367961,433,301,Moved Permanently,new.astrology.com 1-4,true,,https://new.astrology.com/,433
1675724368394,345,200,OK,new.astrology.com 1-4,true,,https://new.astrology.com/us/home.aspx,293
1675724368304,455,200,OK,new.astrology.com 1-3,true,,https://new.astrology.com/us/home.aspx,55
1675724368304,55,301,Moved Permanently,new.astrology.com 1-3,true,,http://new.astrology.com/,55
1675724368359,150,301,Moved Permanently,new.astrology.com 1-3,true,,https://new.astrology.com/,150
1675724368509,250,200,OK,new.astrology.com 1-3,true,,https://new.astrology.com/us/home.aspx,248
1675724368532,409,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,55
1675724368532,55,301,Moved Permanently,new.astrology.com 1-1,true,,http://new.astrology.com/,55
1675724368588,148,301,Moved Permanently,new.astrology.com 1-1,true,,https://new.astrology.com/,148
1675724368736,205,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,204
1675724368506,461,200,OK,new.astrology.com 1-2,true,,https://new.astrology.com/us/home.aspx,54
1675724368506,54,301,Moved Permanently,new.astrology.com 1-2,true,,http://new.astrology.com/,54
1675724368560,132,301,Moved Permanently,new.astrology.com 1-2,true,,https://new.astrology.com/,132
1675724368693,275,200,OK,new.astrology.com 1-2,true,,https://new.astrology.com/us/home.aspx,272
1675724368741,446,200,OK,new.astrology.com 1-4,true,,https://new.astrology.com/us/home.aspx,55
1675724368741,55,301,Moved Permanently,new.astrology.com 1-4,true,,http://new.astrology.com/,55
1675724368796,158,301,Moved Permanently,new.astrology.com 1-4,true,,https://new.astrology.com/,158
1675724368954,233,200,OK,new.astrology.com 1-4,true,,https://new.astrology.com/us/home.aspx,232
1675724368303,905,200,OK,new.astrology.com 1-5,true,,https://new.astrology.com/us/home.aspx,161
1675724368303,161,301,Moved Permanently,new.astrology.com 1-5,true,,http://new.astrology.com/,161
1675724368465,428,301,Moved Permanently,new.astrology.com 1-5,true,,https://new.astrology.com/,428
1675724368894,315,200,OK,new.astrology.com 1-5,true,,https://new.astrology.com/us/home.aspx,264
1675724368760,472,200,OK,new.astrology.com 1-3,true,,https://new.astrology.com/us/home.aspx,55
1675724368760,55,301,Moved Permanently,new.astrology.com 1-3,true,,http://new.astrology.com/,55
1675724368815,158,301,Moved Permanently,new.astrology.com 1-3,true,,https://new.astrology.com/,158
1675724368973,259,200,OK,new.astrology.com 1-3,true,,https://new.astrology.com/us/home.aspx,258
1675724368968,383,200,OK,new.astrology.com 1-2,true,,https://new.astrology.com/us/home.aspx,53
1675724368968,53,301,Moved Permanently,new.astrology.com 1-2,true,,http://new.astrology.com/,53
1675724369021,121,301,Moved Permanently,new.astrology.com 1-2,true,,https://new.astrology.com/,121
1675724369143,208,200,OK,new.astrology.com 1-2,true,,https://new.astrology.com/us/home.aspx,207
1675724368942,414,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,57
1675724368942,57,301,Moved Permanently,new.astrology.com 1-1,true,,http://new.astrology.com/,57
1675724368999,127,301,Moved Permanently,new.astrology.com 1-1,true,,https://new.astrology.com/,127
1675724369126,230,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,230
1675724369187,440,200,OK,new.astrology.com 1-4,true,,https://new.astrology.com/us/home.aspx,55
1675724369187,55,301,Moved Permanently,new.astrology.com 1-4,true,,http://new.astrology.com/,55
1675724369242,128,301,Moved Permanently,new.astrology.com 1-4,true,,https://new.astrology.com/,128
1675724369370,257,200,OK,new.astrology.com 1-4,true,,https://new.astrology.com/us/home.aspx,256
1675724369233,447,200,OK,new.astrology.com 1-3,true,,https://new.astrology.com/us/home.aspx,55
1675724369233,55,301,Moved Permanently,new.astrology.com 1-3,true,,http://new.astrology.com/,55
1675724369288,130,301,Moved Permanently,new.astrology.com 1-3,true,,https://new.astrology.com/,130
1675724369418,262,200,OK,new.astrology.com 1-3,true,,https://new.astrology.com/us/home.aspx,261
1675724369357,452,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,68
1675724369357,68,301,Moved Permanently,new.astrology.com 1-1,true,,http://new.astrology.com/,68
1675724369425,170,301,Moved Permanently,new.astrology.com 1-1,true,,https://new.astrology.com/,170
1675724369595,214,200,OK,new.astrology.com 1-1,true,,https://new.astrology.com/us/home.aspx,213
1675724368803,1018,200,OK,new.astrology.com 1-6,true,,https://new.astrology.com/us/home.aspx,159
1675724368803,159,301,Moved Permanently,new.astrology.com 1-6,true,,http://new.astrology.com/,159
1675724368962,551,301,Moved Permanently,new.astrology.com 1-6,true,,https://new.astrology.com/,551
1675724369514,307,200,OK,new.astrology.com 1-6,true,,https://new.astrology.com/us/home.aspx,255
1675724369209,683,200,OK,new.astrology.com 1-5,true,,https://new.astrology.com/us/home.aspx,53
1675724369209,53,301,Moved Permanently,new.astrology.com 1-5,true,,http://new.astrology.com/,53
1675724369262,127,301,Moved Permanently,new.astrology.com 1-5,true,,https://new.astrology.com/,127
