timeStamp,elapsed,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,URL,Latency,Connect
1675456724270,1010,200,OK,new.astrology.com 1-1,true,,71648,369,https://www.astrology.com/us/home.aspx,179,0
1675456724270,179,301,Moved Permanently,new.astrology.com 1-1,true,,285,119,http://www.astrology.com/,179,0
1675456724449,442,301,Moved Permanently,new.astrology.com 1-1,true,,570,119,https://www.astrology.com/,442,184
1675456724891,389,200,OK,new.astrology.com 1-1,true,,70793,131,https://www.astrology.com/us/home.aspx,329,0
1675456724773,833,200,OK,new.astrology.com 1-2,true,,71645,369,https://www.astrology.com/us/home.aspx,182,1
1675456724773,182,301,Moved Permanently,new.astrology.com 1-2,true,,285,119,http://www.astrology.com/,182,1
1675456724955,373,301,Moved Permanently,new.astrology.com 1-2,true,,570,119,https://www.astrology.com/,372,149
1675456725328,278,200,OK,new.astrology.com 1-2,true,,70790,131,https://www.astrology.com/us/home.aspx,231,0
1675456725280,346,200,OK,new.astrology.com 1-1,true,,71648,369,https://www.astrology.com/us/home.aspx,63,0
1675456725280,63,301,Moved Permanently,new.astrology.com 1-1,true,,285,119,http://www.astrology.com/,63,0
1675456725343,109,301,Moved Permanently,new.astrology.com 1-1,true,,570,119,https://www.astrology.com/,109,0
1675456725452,174,200,OK,new.astrology.com 1-1,true,,70793,131,https://www.astrology.com/us/home.aspx,172,0
1675456725606,334,200,OK,new.astrology.com 1-2,true,,71647,369,https://www.astrology.com/us/home.aspx,67,0
1675456725606,67,301,Moved Permanently,new.astrology.com 1-2,true,,285,119,http://www.astrology.com/,67,0
1675456725673,102,301,Moved Permanently,new.astrology.com 1-2,true,,570,119,https://www.astrology.com/,102,0
1675456725776,164,200,OK,new.astrology.com 1-2,true,,70792,131,https://www.astrology.com/us/home.aspx,161,0
1675456725626,402,200,OK,new.astrology.com 1-1,true,,71646,369,https://www.astrology.com/us/home.aspx,63,0
1675456725626,63,301,Moved Permanently,new.astrology.com 1-1,true,,285,119,http://www.astrology.com/,63,0
1675456725689,115,301,Moved Permanently,new.astrology.com 1-1,true,,570,119,https://www.astrology.com/,115,0
1675456725804,224,200,OK,new.astrology.com 1-1,true,,70791,131,https://www.astrology.com/us/home.aspx,224,0
1675456725270,884,200,OK,new.astrology.com 1-3,true,,71648,369,https://www.astrology.com/us/home.aspx,154,0
1675456725270,154,301,Moved Permanently,new.astrology.com 1-3,true,,285,119,http://www.astrology.com/,154,0
1675456725424,441,301,Moved Permanently,new.astrology.com 1-3,true,,570,119,https://www.astrology.com/,441,189
1675456725865,289,200,OK,new.astrology.com 1-3,true,,70793,131,https://www.astrology.com/us/home.aspx,231,0
1675456725940,332,200,OK,new.astrology.com 1-2,true,,71646,369,https://www.astrology.com/us/home.aspx,64,0
