timeStamp,elapsed,responseCode,responseMessage,threadName,success,bytes,sentBytes,URL,Latency,Connect
1675726071874,815,200,OK,new.astrology.com 1-1,true,64702,258,https://www.astrology.com/tarot.html,223,48
1675726071874,223,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,223,48
1675726072097,592,200,OK,new.astrology.com 1-1,true,64407,129,https://www.astrology.com/tarot.html,541,233
1675726072689,236,200,OK,new.astrology.com 1-1,true,64705,258,https://www.astrology.com/tarot.html,56,0
1675726072689,56,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,56,0
1675726072745,180,200,OK,new.astrology.com 1-1,true,64410,129,https://www.astrology.com/tarot.html,179,0
1675726072377,744,200,OK,new.astrology.com 1-2,true,64703,258,https://www.astrology.com/tarot.html,157,1
1675726072377,157,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,157,1
1675726072534,587,200,OK,new.astrology.com 1-2,true,64408,129,https://www.astrology.com/tarot.html,537,216
1675726072926,245,200,OK,new.astrology.com 1-1,true,64704,258,https://www.astrology.com/tarot.html,55,0
1675726072926,55,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726072981,190,200,OK,new.astrology.com 1-1,true,64409,129,https://www.astrology.com/tarot.html,190,0
1675726073121,230,200,OK,new.astrology.com 1-2,true,64704,258,https://www.astrology.com/tarot.html,55,0
1675726073121,55,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726073176,175,200,OK,new.astrology.com 1-2,true,64409,129,https://www.astrology.com/tarot.html,174,0
1675726073171,280,200,OK,new.astrology.com 1-1,true,64706,258,https://www.astrology.com/tarot.html,56,0
1675726073171,56,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,56,0
1675726073227,224,200,OK,new.astrology.com 1-1,true,64411,129,https://www.astrology.com/tarot.html,223,0
1675726073351,220,200,OK,new.astrology.com 1-2,true,64706,258,https://www.astrology.com/tarot.html,70,0
1675726073351,70,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,70,0
1675726073421,150,200,OK,new.astrology.com 1-2,true,64411,129,https://www.astrology.com/tarot.html,150,0
1675726072875,746,200,OK,new.astrology.com 1-3,true,64706,258,https://www.astrology.com/tarot.html,158,0
1675726072875,158,301,Moved Permanently,new.astrology.com 1-3,true,295,129,http://www.astrology.com/tarot.html,158,0
1675726073033,588,200,OK,new.astrology.com 1-3,true,64411,129,https://www.astrology.com/tarot.html,520,214
1675726073571,180,200,OK,new.astrology.com 1-2,true,64706,258,https://www.astrology.com/tarot.html,54,0
1675726073571,54,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,54,0
1675726073625,126,200,OK,new.astrology.com 1-2,true,64411,129,https://www.astrology.com/tarot.html,125,0
1675726073451,371,200,OK,new.astrology.com 1-1,true,64706,258,https://www.astrology.com/tarot.html,70,0
1675726073451,70,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,70,0
1675726073521,301,200,OK,new.astrology.com 1-1,true,64411,129,https://www.astrology.com/tarot.html,300,0
1675726073621,201,200,OK,new.astrology.com 1-3,true,64706,258,https://www.astrology.com/tarot.html,55,0
1675726073621,55,301,Moved Permanently,new.astrology.com 1-3,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726073676,146,200,OK,new.astrology.com 1-3,true,64411,129,https://www.astrology.com/tarot.html,145,0
1675726073751,195,200,OK,new.astrology.com 1-2,true,64706,258,https://www.astrology.com/tarot.html,70,0
1675726073751,70,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,70,0
1675726073821,125,200,OK,new.astrology.com 1-2,true,64411,129,https://www.astrology.com/tarot.html,124,0
1675726073822,226,200,OK,new.astrology.com 1-1,true,64707,258,https://www.astrology.com/tarot.html,55,0
1675726073822,55,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726073877,171,200,OK,new.astrology.com 1-1,true,64412,129,https://www.astrology.com/tarot.html,170,0
1675726073375,699,200,OK,new.astrology.com 1-4,true,64706,258,https://www.astrology.com/tarot.html,160,1
1675726073375,160,301,Moved Permanently,new.astrology.com 1-4,true,295,129,http://www.astrology.com/tarot.html,160,1
1675726073536,538,200,OK,new.astrology.com 1-4,true,64411,129,https://www.astrology.com/tarot.html,487,235
1675726073822,265,200,OK,new.astrology.com 1-3,true,64706,258,https://www.astrology.com/tarot.html,61,0
1675726073822,61,301,Moved Permanently,new.astrology.com 1-3,true,295,129,http://www.astrology.com/tarot.html,61,0
1675726073883,204,200,OK,new.astrology.com 1-3,true,64411,129,https://www.astrology.com/tarot.html,202,0
1675726073946,180,200,OK,new.astrology.com 1-2,true,64706,258,https://www.astrology.com/tarot.html,55,0
1675726073946,55,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726074001,125,200,OK,new.astrology.com 1-2,true,64411,129,https://www.astrology.com/tarot.html,124,0
1675726074048,188,200,OK,new.astrology.com 1-1,true,64706,258,https://www.astrology.com/tarot.html,55,0
1675726074048,55,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726074103,133,200,OK,new.astrology.com 1-1,true,64411,129,https://www.astrology.com/tarot.html,132,0
1675726074087,236,200,OK,new.astrology.com 1-3,true,64706,258,https://www.astrology.com/tarot.html,56,0
1675726074087,56,301,Moved Permanently,new.astrology.com 1-3,true,295,129,http://www.astrology.com/tarot.html,56,0
1675726074143,180,200,OK,new.astrology.com 1-3,true,64411,129,https://www.astrology.com/tarot.html,178,0
1675726074074,249,200,OK,new.astrology.com 1-4,true,64705,258,https://www.astrology.com/tarot.html,56,0
1675726074074,56,301,Moved Permanently,new.astrology.com 1-4,true,295,129,http://www.astrology.com/tarot.html,56,0
1675726074130,193,200,OK,new.astrology.com 1-4,true,64410,129,https://www.astrology.com/tarot.html,191,0
1675726074126,226,200,OK,new.astrology.com 1-2,true,64706,258,https://www.astrology.com/tarot.html,55,0
1675726074126,55,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726074181,171,200,OK,new.astrology.com 1-2,true,64411,129,https://www.astrology.com/tarot.html,168,0
1675726074236,186,200,OK,new.astrology.com 1-1,true,64706,258,https://www.astrology.com/tarot.html,56,0
1675726074236,56,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,56,0
1675726074292,130,200,OK,new.astrology.com 1-1,true,64411,129,https://www.astrology.com/tarot.html,129,0
1675726074323,220,200,OK,new.astrology.com 1-3,true,64706,258,https://www.astrology.com/tarot.html,54,0
1675726074323,54,301,Moved Permanently,new.astrology.com 1-3,true,295,129,http://www.astrology.com/tarot.html,54,0
1675726074377,166,200,OK,new.astrology.com 1-3,true,64411,129,https://www.astrology.com/tarot.html,163,0
1675726074323,221,200,OK,new.astrology.com 1-4,true,64706,258,https://www.astrology.com/tarot.html,55,0
1675726074323,55,301,Moved Permanently,new.astrology.com 1-4,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726074378,166,200,OK,new.astrology.com 1-4,true,64411,129,https://www.astrology.com/tarot.html,165,0
1675726074352,242,200,OK,new.astrology.com 1-2,true,64704,258,https://www.astrology.com/tarot.html,69,0
1675726074352,69,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,69,0
1675726074421,173,200,OK,new.astrology.com 1-2,true,64409,129,https://www.astrology.com/tarot.html,171,0
1675726073871,750,200,OK,new.astrology.com 1-5,true,64703,258,https://www.astrology.com/tarot.html,157,1
1675726073871,157,301,Moved Permanently,new.astrology.com 1-5,true,295,129,http://www.astrology.com/tarot.html,157,1
1675726074028,593,200,OK,new.astrology.com 1-5,true,64408,129,https://www.astrology.com/tarot.html,525,208
1675726074422,228,200,OK,new.astrology.com 1-1,true,64706,258,https://www.astrology.com/tarot.html,55,0
1675726074422,55,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726074477,173,200,OK,new.astrology.com 1-1,true,64411,129,https://www.astrology.com/tarot.html,171,0
1675726074543,178,200,OK,new.astrology.com 1-3,true,64706,258,https://www.astrology.com/tarot.html,54,0
1675726074543,54,301,Moved Permanently,new.astrology.com 1-3,true,295,129,http://www.astrology.com/tarot.html,54,0
1675726074597,124,200,OK,new.astrology.com 1-3,true,64411,129,https://www.astrology.com/tarot.html,124,0
1675726074544,227,200,OK,new.astrology.com 1-4,true,64705,258,https://www.astrology.com/tarot.html,55,0
1675726074544,55,301,Moved Permanently,new.astrology.com 1-4,true,295,129,http://www.astrology.com/tarot.html,55,0
1675726074599,172,200,OK,new.astrology.com 1-4,true,64410,129,https://www.astrology.com/tarot.html,172,0
1675726074594,228,200,OK,new.astrology.com 1-2,true,64706,258,https://www.astrology.com/tarot.html,56,0
1675726074594,56,301,Moved Permanently,new.astrology.com 1-2,true,295,129,http://www.astrology.com/tarot.html,56,0
1675726074650,172,200,OK,new.astrology.com 1-2,true,64411,129,https://www.astrology.com/tarot.html,171,0
1675726074621,250,200,OK,new.astrology.com 1-5,true,64706,258,https://www.astrology.com/tarot.html,54,0
1675726074621,54,301,Moved Permanently,new.astrology.com 1-5,true,295,129,http://www.astrology.com/tarot.html,54,0
1675726074675,196,200,OK,new.astrology.com 1-5,true,64411,129,https://www.astrology.com/tarot.html,177,0
1675726074650,247,200,OK,new.astrology.com 1-1,true,64706,258,https://www.astrology.com/tarot.html,71,0
1675726074650,71,301,Moved Permanently,new.astrology.com 1-1,true,295,129,http://www.astrology.com/tarot.html,71,0
1675726074721,176,200,OK,new.astrology.com 1-1,true,64411,129,https://www.astrology.com/tarot.html,174,0
1675726074722,230,200,OK,new.astrology.com 1-3,true,64705,258,https://www.astrology.com/tarot.html,53,0
1675726074722,53,301,Moved Permanently,new.astrology.com 1-3,true,295,129,http://www.astrology.com/tarot.html,53,0
